"10px","10px"
"Reports","Relatórios"
"Account Email","E-mail da conta"
"Account Name","Nome da conta"
"Additional","Adicional"
"Affiliate Account","Conta de Afiliado"
"Affiliate Account Report","Relatório de Conta de Afiliado"
"Affiliate Plus","Afiliado Plus"
"Affiliate Plus Dashboard","Painel do Afiliado Plus"
"Affiliate Plus Report","Relatório de Afiliado Plus"
"Report Configuration","Configuração de relatório"
"Affiliateplus","Affiliateplus"
"Allow Everything","Permitir tudo"
"Any","Qualquer"
"Applies to Any of the Specified Transaction Statuses","Aplica-se a qualquer um dos status de transação especificados"
"Balance","Saldo"
"Banner","Banner"
"Bestseller Products","Produtos mais vendidos"
"Bestseller Report","Relatório do Bestseller"
"Bestseller Product Report","Relatório do produto mais vendido"
"CSV","CSV"
"Cancel","Cancelar"
"Canceled","Cancelado"
"Commissions","Comissão"
"Click Report","Clique em Relatório"
"Clicks","Cliques"
"Click Report","Clique em Relatório"
"Commission","Comissão"
"Commissions","Comissões"
"Commission(s)","Comissão (s)"
"Complete","Completo"
"Completed","Concluído"
"Create a Report","Criar um relatório"
"Current Month Starts","Mês Atual Começa"
"Dashboard","Dashboard"
"Day","Dia"
"Download CSV","Baixar CSV"
"Email","Email"
"Email Address","Endereço de email"
"Empty Rows","Linhas vazias"
"Enable Charts","Ativar gráficos"
"Enable Frontend Report","Ativar relatório de front-end"
"Excel XML","Excel XML"
"Export","Exportar"
"From","De"
"General","Geral"
"Group By","Agrupar por"
"ID","ID"
"Impressions","Impressões"
"Impression Report","Relatório de impressões"
"Landing Page","Landing Page"
"Lifetime Sales","Lifetime Sales"
"Month","Mês"
"N/A","N/A"
"Name","Nome"
"New Account","Nova conta"
"New Accounts","Novas contas"
"No","Não"
"No Data Found","Nenhum dado encontrado"
"No records found for this period.","Nenhum registro encontrado para este período."
"Number of Orders","Número de pedidos"
"Pending","Pendente"
"Period","Período"
"Please wait...","Por favor aguarde..."
"Price","Preço"
"Product Name","Nome do produto"
"Products Name","Nome dos Produtos"
"Quantity Ordered","Quantidade solicitada"
"Raw","Raw"
"Raw Clicks","Cliques brutos"
"Registered On","Registrado em"
"Report Email","Denunciar email"
"Report email template","Denunciar modelo de email"
"Report email template sent to affiliate account","Enviar modelo de email enviado para a conta de Afiliado"
"Report sending frequency","Relatório de envio de frequência"
"Reports","Relatórios"
"SKU","SKU"
"Sales","Valor"
"Sales Amount","Valor das Vendas"
"Sales Report","Relatório de vendas"
"Select Range","Selecionar intervalo"
"Select day of the month.","Selecionar dia do mês".
"Select the day of the month to be used as the starting point for reports.","Selecione o dia do mês a ser usado como ponto de partida para relatórios."
"Send report email to affiliate","Enviar email de relatório para Afiliado"
"Show Report","Mostrar relatório"
"Specified","Especificado"
"Specific","Específico"
"Standard Earnings","Ganhos padrão"
"Standard Transactions","Transações Padrão"
"Statistic","Estatística"
"Statistic Chart","Gráfico Estatístico"
"Statistics","Estatísticas"
"Status","Status"
"There are no items matching this selection.","Não existem itens que correspondam a esta seleção."
"To","Para"
"Top Affiliates","Principais Afiliados"
"Top Traffic Sources","Principais origens de tráfego"
"Total","Total"
"Total Affiliate Accounts","Total de contas de Afiliados"
"Total Amount",Valor total"
"Total Clicks","Total de cliques"
"Click Reports","Clique em Relatórios"
"Total Commissions","Total de Comissões"
"Total Impressions","Total de impressões"
"Impression Report","Relatório de impressões"
"Total Payouts","Pagamentos totais"
"Total Sales Amount","Valor total de vendas"
"Total Sales Report","Relatório total de vendas"
"Sales Report","Relatório de vendas"
"Total Transactions","Transações Totais"
"Total amount of Sales through Affiliate system","Quantidade total de vendas através do sistema Afiliado"
"Total banner views on Affiliate sites","Total de exibições de banner em sites Afiliados"
"Total clicks to Affiliate link","Total de cliques para o link de Afiliado"
"Traffic Activity","Atividade de tráfego"
"Traffic Source","Fonte de tráfego"
"Transaction Activity","Atividade de Transação"
"Transaction Status","Status da transação"
"Transactions","Transações"
"Type","Tipo"
"Unique","Único"
"Unique Clicks","Cliques exclusivos"
"Unique Clicks / Total Clicks","Cliques únicos / cliques totais"
"Unique Impressions","Impressões únicas"
"Unique Impressions / Total Impressions","Impressões únicas / total de impressões"
"Year","Ano"
"Year-To-Date Starts","Início do ano até a data"
"Yes","Sim"
"last month","último mês"
"last week","semana passada"
"last year","ano passado"
"Select the month and day that is the beginning of the fiscal year.","Selecione o mês e o dia que é o começo do ano fiscal."
