"#Sales/#Orders","#Vendas/#Pedidos"
"%s %s for each sale you deliver","%s %s para cada venda entregue"
"%s %s for the first order of a customer, %s for next orders","%s %s para o primeiro pedido de um cliente,%s para os próximos pedidos"
"%s - Minimum balance required for payout.","%s - saldo mínimo necessário para pagamento"
"%s for next orders","%s para os próximos pedidos"
"%s for the first order of a customer","%s para o primeiro pedido de um cliente"
"%s of sales amount","%s do valor de vendas"
"%s on the first order, %s of next orders","%s no primeiro pedido,%s dos próximos pedidos"
"%s per sale","%s por venda"
"%sx%s","%sx%s"
"-- Please Select --","-- Por favor selecione --"
"1. Log in to your email and get your authentication code.","1. Faça o login no seu e-mail e obtenha seu código de autenticação."
"10px","10px"
"2. Put authentication code into the blank below.","2. Coloque o código de autenticação no espaço abaixo."
"3. Click on Verify button.","3. Clique no botão Verificar."
"Allow affiliates to use commission to check out at your store","Permitir que os Afiliados usem a comissão para fazer o check-out em sua loja"
Customer first buys through affiliate A's link, though later clicks affiliate B's link and buys, this transaction will still be counted for affiliate A.","O cliente compra primeiro por meio do link do Afiliado A, embora depois clique no link e nas compras do Afiliado B, essa transação ainda será contada para o Afiliado A."
"ADDITIONAL SALES COMMISSIONS","COMISSÕES DE VENDAS ADICIONAIS"
"ASC","ASC"
"Account Balance","Saldo da conta"
"Account Balance Scope","Escopo do saldo da conta"
"Account Configuration","Configuração de conta"
"Account Email","Conta de e-mail"
"Account Information","Informação da conta"
"Account Manager","Gerente de contas"
"New Account","Nova conta"
"Account Settings","Configurações da conta"
"This account does not exist.","Essa conta não existe."
"Account not enough balance to cancel","Conta não tem saldo suficiente para cancelar"
"The account has been deleted successfully.","A conta foi excluída com sucesso."
"The account has been updated successfully.","A conta foi atualizada com sucesso."
"Accounts Manager","Gerente de contas"
"Action","Ação"
"Add Account","Adicionar Conta"
"Add Banner","Adicionar banner"
"Add Level","Adicionar nível"
"Add Withdrawal","Adicionar retirada"
"Add Withdrawal for ","Adicionar retirada para"
"Add commission to affiliate account balance when order status is","Adicionar comissão ao saldo da conta de Afiliado quando o status do pedido é"
"Add payout","Adicionar pagamento"
"Additional Commission","Comissão adicional"
