"%s","%s"
"API Password","Senha da API"
"API Signature","Assinatura da API"
"API Username","Nome de usuário da API"
"API/MQI Password","Senha API / MQI"
"Acc Number: %s","Número da conta: %s"
"Account Information","Informações da conta"
"Account Settings","Configurações da conta"
"Account: %s","Conta: %s"
"Active","Ativo"
"Address","Endereço"
"Admin Email","Admin Email"
"Admin Message","Mensagem Administrativa"
"Affiliate Plus Payment Method","Método de pagamento de Afiliado plus"
"Allow Everything","Permitir tudo"
"Amount","Montante"
"Auto complete Withdrawal","Auto complete Withdrawal"
"Back","Voltar"
"Bank Account","Conta Bancária"
"Bank Address: %s","Endereço da agência: %s"
"Commissions","Comissão"
"Bank SWIFT code","Agência bancária"
"Bank Statement","Extrato bancário"
"Bank Transfer Payment","Pagamento por transferência bancária"
"Bank Transfer Payment Method","Método de pagamento por transferência bancária"
"Bank account name","Nome do titular da conta bancária"
"Bank account name is empty.","O nome do titular da conta bancária está vazio."
"Bank account number","Número da conta com dígito, se houver"
"Bank account number is empty.","O número da conta bancária está vazio."
"Bank address","Endereço da agência"
"Bank name","Nome do banco"
"Bank name is empty.","O nome do banco está vazio."
"Bank routing code","Código do banco"
"Bank: %s","Banco: %s"
"Can not connect to Moneybooker server at this time","Não é possível conectar-se ao servidor Moneybooker neste momento"
"Cancel","Cancelar"
"Canceled","Cancelado"
"Change Password","Alterar senha"
"City","Cidade"
"Completed","Concluído"
"Complete","Completo"
"Confirm","Confirmar"
"Confirm New Password","Confirmar nova senha"
"Confirm Request","Confirmar Pedido"
"Content of notification email","Conteúdo do email de notificação"
"Country","País"
"Current Password","Senha atual"
"Custom Period","Período personalizado"
"Custom payout days","Dias de pagamento personalizados"
"Email","Email"
"Email template sent to Admins","Modelo de e-mail enviado para administradores"
"Email template sent to Affiliate","Modelo de e-mail enviado para Afiliado"
"Email template sent to admin when withdrawal by recurring","Modelo de e-mail enviado para o administrador quando a retirada por recorrente"
"Email template sent to affiliate when withdrawal by recurring","Modelo de e-mail enviado para Afiliado quando a retirada é recorrente"
"Email: ","Email: "
"Enable Recurring Payment","Ativar Pagamento Recorrente"
"Fax","Fax"
"Fee","Taxa"
