CODIGO      ATIVO
01-000-001  N      
01-000-002  N      
01-000-003  N      
01-000-004  N      
01-000-005  N      
01-000-006  N      
01-000-007  N      
01-000-008  N      
01-000-009  N      
01-000-010  N      
01-000-011  N      
01-000-012  N      
01-000-013  N      
01-000-014  N      
01-000-015  N      
01-000-016  N      
01-001      N      
01-001A     N      
01-001B     N      
01-001F     N      
01-001P     N      
01-002A     N      
01-002AAG   N      
01-002F     N      
01-002I     N      
01-002P     N      
01-003      N      
01-0030AAG  N      
01-003AG    N      
01-003F     N      
01-003I     N      
01-004-1    N      
01-004A     N      
01-004AAG   N      
01-004AG    N      
01-004AI    N      
01-004I     N      
01-004P     N      
01-006F     N      
01-007      N      
01-008      N      
01-008F     N      
01-009-1    N      
01-010AG    N      
01-010E     N      
01-011      N      
01-012      N      
01-013      N      
01-013AG    N      
01-013R     N      
01-014      N      
01-014A     N      
01-015      N      
01-015B     N      
01-016      N      
01-016A     N      
01-016B     N      
01-016C     N      
01-016P     N      
01-017A     N      
01-017L     N      
01-017P     N      
01-018      N      
01-018AG    N      
01-018F     N      
01-019A     N      
01-019AU    N      
01-01LBAG   N      
01-020AAG   N      
01-020R     N      
01-021-0    N      
01-021-0C   N      
01-021-2    N      
01-021-3    N      
01-021-6    N      
01-021A     N      
01-021AAG   N      
01-021B     N      
01-021I     N      
01-021L     N      
01-021P     N      
01-021R0    N      
01-022      N      
01-022A     N      
01-022AG    N      
01-022AI    N      
01-022B     N      
01-022I     N      
01-022L     N      
01-023A1    N      
01-023AI1   N      
01-023I1    N      
01-023IA1   N      
01-023P1    N      
01-024A     N      
01-024AAG   N      
01-024P     N      
01-026A     N      
01-026AI    N      
01-026B     N      
01-027      N      
01-027B     N      
01-027F     N      
01-027I     N      
01-028      N      
01-028A     N      
01-028I     N      
01-028P     N      
01-029      N      
01-029B     N      
01-029R     N      
01-02LBAG   N      
01-030A     N      
01-030AAG   N      
01-030B     N      
01-030BAG   N      
01-030BB    N      
01-030I     N      
01-030L     N      
01-030P     N      
01-033-0    N      
01-033A     N      
01-033AAG   N      
01-033AG    N      
01-033AI    N      
01-033B     N      
01-033C     N      
01-033D     N      
01-033F     N      
01-033I     N      
01-033L     N      
01-033P     N      
01-033PP    N      
01-033PR    N      
01-034A     N      
01-034B     N      
01-036-2    N      
01-036-3    N      
01-036-4    N      
01-036-5    N      
01-036-6    N      
01-036-7    N      
01-036-8    N      
01-037A     N      
01-037AAG   N      
01-037AG    N      
01-037B     N      
01-037C     N      
01-037D     N      
01-037I     N      
01-037L     N      
01-037P     N      
01-037PL    N      
01-037PP    N      
01-038-3    N      
01-038-7    N      
01-039A     N      
01-039AL    N      
01-039D     N      
01-039I     N      
01-039L     N      
01-039P     N      
01-039PL    N      
01-039PP    N      
01-044A     N      
01-044B     N      
01-044C     N      
01-044D     N      
01-044E     N      
01-044F     N      
01-044G     N      
01-044H     N      
01-044I     N      
01-044J     N      
01-044K     N      
01-044L     N      
01-044M     N      
01-044N     N      
01-044O     N      
01-044P     N      
01-044R     N      
01-044S     N      
01-044T     N      
01-044V     N      
01-044W     N      
01-044Y     N      
01-045AA    N      
01-045AB    N      
01-045AF    N      
01-045AGG   N      
01-045BA    N      
01-045BF    N      
01-045CA    N      
01-045CF    N      
01-045CGG   N      
01-045DA    N      
01-045DF    N      
01-045DGG   N      
